from,to,via,limit,time,day,notice
Neuchatel,Chamberonne,,1,08:00,Monday,1800
Neuchatel,Chamberonne,,1,08:00,Tuesday,1800
Neuchatel,EPFL,,1,08:00,Wednesday,1800
Neuchatel,Chamberonne,,1,08:00,Thursday,1800
Neuchatel,EPFL,,1,07:00,Friday,1800
